tabla_evento;columna;valor;descripcion;nota
s__general__zendesk_ticket_topics__event;subtopic_normalized;Agregar Usuario Partners Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Agregar Usuario-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Agregar Usuarios;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Ahora 12;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Ajustes Pós Faturamento;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alerta De Vendas Funsales;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alerta De Ventas;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alertas E Advertências;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliases;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliases Pagamentos;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alicuota Impuestos;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Dropi;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Dropi Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Dropi Mx;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Dropi Products;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Dropi Shipping;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Dropi-ar;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Nimble Products;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Aliexpress By Nimble Shipping;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Allow List;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Allpost;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteracion Pago Nube;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteracion Payment Apps;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alteracion Payment Apps Lt;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Cores;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Dados;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Dados Da Etiqueta;Subtópico normalizado;
s__general__zendesk_ticket_topics__event;subtopic_normalized;Alterar Formatos;Subtópico normalizado;
